Curriculum,George_Mason_CS,,,,,,,,,,,,
Institution,George Mason,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.07,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Essentials of Computer Science,CS,110,,,,3,,,11,7,4,0
2,Introduction to Computer Programming ,CS,112,,,,4,,,19,14,5,0
3,Object Oriented Programming,CS,211,2,,,3,,,18,13,5,68
4,Introduction to Low Level Programming ,CS,262,3,1,,3,,,10,5,5,36
5,Synthesis of Ethics and Law for the Computing Professional,CS,306,30;28;37;1,,,3,,,3,0,3,0
6,Data Structures,CS,310,17;3,,,3,,,13,9,4,63
7,Softwear Engineering,CS,321,39;6;30;37,,,3,,,4,0,4,0
8,Formal Methods and Models,CS,330,3;19,,,3,,,7,3,4,21
9,Computer Systems abd Programming,CS,367,4;1;19,,,3,,,9,4,5,60
10,Operating Systems,CS,471,6;9,,,4,,,5,0,5,0
11,Analysis of Algorithms,CS,483,6;8;19,,,3,,,4,0,4,0
12,Computer Communications and Networking,CS,455,22;6;9,,,3,,,5,0,5,0
13,CS Elective (Database Concepts),CS,450,6;8,,,3,,,4,0,4,0
14,CS Elective (Comparative Programming Languages),CS,463,6;9;8,,,3,,,5,0,5,0
15,CS Elective (Mobile Application Deveopment),CS,477,6;9,,,3,,,5,0,5,0
16,CS Elective (Comparative Programming Languages),CS,484,22;6,,,3,,,4,0,4,0
17,Analytic Geometry and Calculus I,MATH,113,,,,4,,,19,15,4,0
18,Analytic Geometry and Calculus II,MATH,114,17,,,4,,,10,6,4,18
19,Discrete Mathematics I,MATH,125,,,,3,,,12,9,3,0
20,Linear Algebra,MATH,203,18,,,3,,,3,0,3,0
21,Analytic Geometry and Calculus III,MATH,213,18,,,3,,,3,0,3,0
22,Probability and Sraristics for Engineers and Scientists,STAT,344,18,,,3,,,7,3,4,12
23,Probability and Staticstics for Engineers and Scientists II,STAT,354,22,,,3,,,4,0,4,0
24,Object-Oriented Software Design and Implementation,SWE,419,6;19,,,3,,,4,0,4,0
25,Natural Science Elective (Into to Biology),BIOL,102,,,,4,,,3,1,2,0
26,Natural Science Elective (Intro to Bio II),BIOL,103,25,27,,3,,,2,0,2,0
27,Natural Science Elective (Intro to Bio II Lab),BIOL,105,,,,1,,,3,1,2,0
28,Oral Communication (Public Speaking),COMM,100,,,,3,,,3,1,2,0
29,Written Communication (Composition),ENGH,101,,,,3,,,6,3,3,0
30,Advanced Composition,ENGH,302,29,,,3,,,5,2,3,6
31,Litrature Elective,XX,XX,,,,3,,,1,0,1,0
32,Arts Elective,XX,XX,,,,3,,,1,0,1,0
33,Western Civilization/World History,XX,XX,,,,3,,,1,0,1,0
34,Social and Behavioral Sciences,XX,XX,,,,3,,,1,0,1,0
35,Global Understanding,XX,XX,,,,3,,,1,0,1,0
36,Natural Science Elective,XX,XX,,,,4,,,1,0,1,0
37,Principles of Research and Inquiry (GE),HNRS,110,,,,4,,,6,3,3,0
38,General Elective,,XX,,,,2,,,1,0,1,0
39,Contemoray Social Issues (GE),HNRS,131,37,,,3,,,4,1,3,3