Curriculum,Computer Science and Engineering,,,,,,,,
Insitution,Massachusetts Institute of Technology,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Oral Communcation,6,UAT,,,,9,,
2,Introduction to Computer Science in Python,6,100A,,,,6,,
3,Fundamentals of Programming,6,1010,2,,,12,,
4,Elements of Software Construction,6,1020,3,,,15,,
5,Calculus,18,1,,,,12,,
6,Mathematics of Computer Science,6,1200[J],5,,,12,,
7,Introducation to Algorithms,6,1210,6;2,,,12,,
8,Computer Systems Engineering,6,1800,3;9,,,12,,
9,Computation Structures,6,1910,11;2;10,,,12,,
10,Introducation to Low-level Programming in C and Assembly,6,1900,2,,,6,,
11,Physics II,8,2,12;5,,,12,,
12,Physics I,8,1,,,,12,,
13,Calculus II,18,5,,,,15,,
14,Introducation to Probability,6,3700,13,,,12,,
15,Softwear Studio (Computer Science Track Elective),6,1040,4;6,,,15,,
16,Computer Language Engineering (Computer Science Track Elective),6,1100,4;9,,,12,,
17,Design and Analysis of Algorithms (CS/AI/EE Elective),6,1220[J],7,,,12,,
18,Theory of Computation (CS/AI/EE Elective),18,404,6,,,12,,
19,Introductory Biology (Science General Requirement),7,12,,,,12,,
20,Introduction to Solid State Chemistry (Chemistry General Requirement),3,91,,,,12,,
21,(HASS GE & CI-H),XX,XX,,,,12,,
22,(HASS GE & CI-H),XX,XX,,,,12,,
23,(HASS GE),XX,XX,,,,12,,
24,(HASS GE),XX,XX,,,,12,,
25,(HASS GE),XX,XX,,,,12,,
26,(HASS GE),XX,XX,,,,12,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,