Curriculum,Degree Name,,,,,,,,
Insitution,Michigan State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Cell and Molecular Biology (Bioscience Elective),BS,161,,,,3,,
2,Call and Molecular Biology Lab (Bioscience Elective),CSE,171,,1,,2,,
3,Introduction to Programming I,CSE,231,,24,,4,,
4,Introduction to Programming II,CSE,232,3;24,,,4,,
5,Discrete Structures in Computer Science,CSE,260,25,,,4,,
6,"Social, Ethica, and Professional Issues in Computer Science",CSE,300,,,,1,,
7,Computer Organization and Architecture,CSE,320,4;5,,,3,,
8,Computer Systems,CSE,325,7,,,3,,
9,Algorithms and Data Structures,CSE,331,4;5,,,3,,
10,Object-Oriented Design,CSE,335,4;5,,,4,,
11,Introduction to Computer Security,CSE,425,8,,,3,,
12,Collabrative Design (W),CSE,498,18;16;6;8;10;26,,,4,,
13,Martix Algebra with Computation Applications,MTH,314,25;3,,,3,,
14,Probability and Statistics for Engineering,STT,351,27,,,3,,
15,Computer Architecture (CS Elective),CSE,420,4;8,,,3,,
16,Algorithm Engineering (CS Elective),CSE,431,9,,,3,,
17,Software Engineering (CS Elective),CSE,435,9;10;26,,,3,,
18,Translation of Programming Languages (CS Elective),CSE,450,9;7,,,3,,
19,Web Application Architecture and Development (CS Elective),CSE,477,7,,,3,,
20,Conagte,XX,XX,,,,3,,
21,Conagte,XX,XX,,,,3,,
22,Conagte,XX,3XX,,,,3,,
23,Conagte,XX,3XX,,,,3,,
24,Calculus I,MATH,132,,,,3,,
25,Calculus II,MATH,133,24,,,4,,
26,"Writing, Rhetoric, and American Cultures",WRA,101,,,,4,,
27,Multivariable Calculus,MATH,234,25,,,4,,
28,Introduction to Engineering Design,EGR,100,,,,2,,
29,Social and Behaviors Sciences Elective,ISS,2XX,,,,4,,
30,Social and Behaviors Sciences Elective,ISS,3XX,29,,,4,,
31,Physics for Scientists and Engineers I,PHY,183,,25,,4,,
32,Physics for Scientists and Engineers II,PHY,184,31,25,,4,,
33,Arts or Humanties Elective,IAH,201-210,,,,4,,
34,Arts or Humanites Elective,IAH,211>,33;28,,,4,,
35,Free Elective,XX,XX,,,,3,,
36,Free Elective,XX,XX,,,,3,,
37,Free Elective,XX,XX,,,,2,,