Curriculum,Computer Science,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BSCS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,137,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,First Year Seminar,1200,CS,,,,1,,
2,Professional Development for Khoury Co-op,1210,CS,,,,1,,
3,Discrete Structures,1800,CS,,4,,4,,
4,Seminar for CS 1800,1802,CS,,,,1,,
5,Fundamentals of Computer Science 1,2500,CS,,6,,4,,
6,Lab for CS 2500,2501,CS,,,,1,,
7,Fundamentals of Computer Science 2,2510,CS,5,8,,4,,
8,Lab for CS 2510,2511,CS,,,,1,,
9,Mathematics of Data Models,2810,CS,3;5,,,4,,
10,Algorithms and Data,3000,CS,7,11,,4,,
11,Recitation for CS 3000,3001,CS,,,,0,,
12,Object-Oriented Design,3500,CS,7,13,,4,,
13,Lab for CS 3500,3501,CS,,,,1,,
14,Computer Systems,3650,CS,7,,,4,,
15,Theory of Computation,3800,CS,7,,,4,,
16,Software Development,4500,CS,12;31,,,4,,
17,Foundations of Cybersecurity,2550,CY,5,,,4,,
18,Public Speaking,1112,COMM,,,,4,,
19,Elective (Principles of Information Science),2000,IS,,,,4,,
20,Elective (Database Design),3200,CS,5,,,4,,
21,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
22,Introduction to Mathematical Reasoning,1365,MATH,,,,4,,
23,Technology and Human Values,1145,PHIL,,,,4,,
24,Fundamentals of Digital Design and Computer Organization,2322,EECE,3,25,,4,,
25,Lab for EECE 2322,2323,EECE,,,,1,,
26,General Biology 1,1111,BIOL,,27,,4,,
27,Lab for BIOL 1111,1112,BIOL,,,,1,,
28,Dynamic Earth,1200,ENVR,,29,,4,,
29,Lab for ENVR 1200,1201,ENVR,,,,1,,
30,Logic and Computation,2800,CS,3;5,,,4,,
31,Programming Languages,4400,CS,10;12,,,4,,
32,Network Fundamentals,4700,CS,14,,,4,,
33,Programming in C++,3520,CS,7,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
40,General Elective,XXXX,XX,,,,4,,
41,First-Year Writing,1111,ENGW,,,,4,,
42,Advanced Writing in the Sciences,3307,ENGW,41,,,4,,