Curriculum,Data Science,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,136,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,First Year Seminar,1200,CS,,,,1,,
2,Professional Development for Khoury Co-op,1210,CS,,,,1,,
3,Discrete Structures,1800,CS,,4,,4,,
4,Seminar for CS 1800,1802,CS,,,,1,,
5,Programming with Data,2000,DS,,6,,4,,
6,Data Science Programming Practicum,2001,DS,,,,4,,
7,Intermediate Programming with Data,2500,DS,5,8,,4,,
8,Lab for DS 2500,2501,DS,,,,1,,
9,Advanced Programming with Data,3500,DS,7,,,4,,
10,Algorithms and Data,3000,CS,7,11,,4,,
11,Recitation for CS 3000,3001,CS,,,,0,,
12,Database Design,3200,CS,7,,,4,,
13,Programming in C++,3520,CS,7,,,4,,
14,Artificial Intelligence,4100,CS,9,,,4,,
15,Natural Language Processing,4120,CS,9,,,4,,
16,Human Computer Interaction,4300,IS,9,,,4,,
17,Foundations of Data Science,3000,DS,7,,,4,,
18,Information Presentation and Visualization,4200,DS,7,,,4,,
19,Large-Scale Information Storage and Retrieval,4300,DS,17,,,4,,
20,Machine Learning and Data Mining 1,4400,DS,17;26,,,4,,
21,Machine Learning and Data Mining 2,4420,DS,20,,,4,,
22,Public Speaking,1112,COMM,,,,4,,
23,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
24,Calculus 2 for Science and Engineering,1342,MATH,23,,,4,,
25,Linear Algebra,2331,MATH,24,,,4,,
26,Probability and Statistics,3081,MATH,24,,,4,,
27,Technology and Human Values,1145,PHIL,,,,4,,
28,Principles of Information Science,2000,IS,,,,4,,
29,Information Design History,5110,ARTG,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,First-Year Writing,1111,ENGW,,,,4,,
38,Advanced Writing in the Sciences,3307,ENGW,37,,,4,,