Curriculum,San_Jose_State_CS,,,,,,,,,
Institution,"San Jose State",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"GE Area A","XX","XX",,,,3,"","",1.0,0,1.0,0
2,"GE Area A","XX","XX",,,,3,"","",1.0,0,1.0,0
3,"GE Area A","XX","XX",,,,3,"","",1.0,0,1.0,0
4,"GE Area C","XX","XX",,,,3,"","",1.0,0,1.0,0
5,"GE Area C","XX","XX",,,,3,"","",1.0,0,1.0,0
6,"GE Area C","XX","XX",,,,3,"","",1.0,0,1.0,0
7,"GE Area E","XX","XX",,,,3,"","",1.0,0,1.0,0
8,"GE Area F","XX","XX",,,,3,"","",1.0,0,1.0,0
9,"SJSU Studies Area R","XX","XX",,,,3,"","",1.0,0,1.0,0
10,"SJSU Studies Area S","XX","XX",,,,3,"","",1.0,0,1.0,0
11,"Physical Eduation GE","XX","XX",,,,2,"","",1.0,0,1.0,0
12,"Calculus I","MATH","30",,,,3,"","",16.0,12,4.0,0
13,"Calculus II","MATH","31","12",,,4,"","",8.0,4,4.0,10
14,"Discrete Mathematics","MATH","42",,,,3,"","",19.0,15,4.0,0
15,"Linear Algebra","MATH","39","13",,,3,"","",5.0,1,4.0,4
16,"Computers, Ethics and Society","PHIL","134",,,,3,"","",1.0,0,1.0,0
17,"Calculus III (Math Elective)","MATH","32","13",,,3,"","",3.0,0,3.0,0
18,"Priniples of Biology I","BIOL","30","20",,,4,"","",4.0,1,3.0,3
19,"Priniples of Biology II","BIOL","31","18",,,4,"","",3.0,0,3.0,0
20,"First-Year Writing","ENGL","1A",,,,3,"","",5.0,2,3.0,0
21,"Introduction to Programming","CS","46A",,,,4,"","",19.0,14,5.0,0
22,"Introduction to Data Structures","CS","46B","21",,,4,"","",18.0,13,5.0,46
23,"Introduction to Computer Systems","CS","47","22;14",,,3,"","",7.0,3,4.0,21
24,"Data Structures and Algorithms","CS","146","22;39;12;14",,,3,"","",11.0,6,5.0,69
25,"Computer Architecture","CS","147","23",,,3,"","",4.0,0,4.0,0
26,"Operating Systems","CS","149","23",,,3,"","",4.0,0,4.0,0
27,"Object Oriented Design","CS","151","22;39;14",,,3,"","",8.0,3,5.0,23
28,"Programming Paradigms","CS","152","27",,,3,"","",4.0,0,4.0,0
29,"Formal Languages and Computability","CS","154","22;14",,,3,"","",5.0,1,4.0,7
30,"Introduction to Database <amagement Systems","CS","157A","24",,,3,"","",4.0,0,4.0,0
31,"Software Engineering","CS","160","27;24",,,3,"","",6.0,1,5.0,30
32,"Information Security","CS","166","24;23",,,3,"","",4.0,0,4.0,0
33,"Concepts of Compiler Design (CS/Math Elective)","CS","153","29;24",,,3,"","",4.0,0,4.0,0
34,"Introduction to Machine Learning (CS/Math Elective)","CS","171","24",,,3,"","",4.0,0,4.0,0
35,"Software Project (CS/Math Elective)","CS","161","31",,,3,"","",5.0,0,5.0,0
36,"Introduction to Combinatorics (CS/Math Elective)","MATH","142","13;14",,,3,"","",3.0,0,3.0,0
37,"Linear and Non Linear Optimization (CS/Math Elective)","MATH","177","15;14",,,3,"","",4.0,0,4.0,0
38,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
39,"Applied Algorithms","CS","48",,,,1,"","",13.0,9,4.0,0