Curriculum,Seattle_University_CS,,,,,,,,,
Institution,"Seattle University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus I","MATH","1334",,,,5,"","",21.3,24,8.0,0
2,"Calculus II","MATH","1335","1",,,5,"","",12.7,12,7.0,27
3,"Calculus III","MATH","1336","2",,,5,"","",3.3,1,4.0,4
4,"Linear Algebra","MATH","2320","3",,,3,"","",2.7,0,4.0,0
5,"Probability and Statistics for the Sciences and Engineering","MATH","2310","2",,,5,"","",3.3,1,4.0,4
6,"Mechanics","PHYS","1210","2",,"7",4,"","",3.3,1,4.0,7
7,"Mechanics Lab","PHYS","1211",,,,1,"","",3.3,2,3.0,0
8,"Electricity and Magnetism (Lab Science Elective)","PHYS","1220","6;2",,"9",4,"","",2.7,0,4.0,0
9,"Electricity and Magnetism Lab (Lab Science Elective)","PHYS","1221",,,,1,"","",2.0,1,2.0,0
10,"Biology I: Molecular and Cellular Biology (Lab Science Elective)","BIOL","1610",,"1","11",4,"","",1.3,0,2.0,0
11,"Biology I Lab(Lab Science Elective)","BIOL","1611",,,,1,"","",2.0,1,2.0,0
12,"Programming and Problem Solving I","CPSC","1420","1",,,5,"","",16.0,16,8.0,101
13,"Programming and Problem Solving II","CPSC","1430","12",,,5,"","",15.3,15,8.0,101
14,"Data Structures","CPSC","2430","13",,,5,"","",13.3,12,8.0,69
15,"Computer Organization","CPSC","2500","13",,,5,"","",9.3,6,8.0,18
16,"Object Oriented Development","CPSC","3200","14",,,5,"","",8.0,4,8.0,14
17,"Fundamentals of Databases","CPSC","3300","14",,,5,"","",7.3,3,8.0,8
18,"Foundations of Computer Science","CPSC","2600","13;2",,,5,"","",8.7,5,8.0,26
19,"Languages and Computation","CPSC","3400","18;14",,,5,"","",8.0,4,8.0,40
20,"Design and Analysis of Algorithms","CPSC","4100","15;14",,,5,"","",3.3,0,5.0,0
21,"Academic Writing Seminar","UCOR","1100",,,,5,"","",8.7,8,5.0,0
22,"Technical Communication and Project Management","CPSC","4800","21;14",,,3,"","",7.3,3,8.0,24
23,"Computing Systems","CPSC","3500","15;14",,,5,"","",7.3,3,8.0,16
24,"Software Engineering and Project Development I","CPSC","4870","16;17;23;19","22",,5,"","",6.7,2,8.0,68
25,"Software Engineering and Project Development II","CPSC","4880","22;24",,,3,"","",6.0,1,8.0,79
26,"Software Engineering and Project Development III","CPSC","4890","25",,,3,"","",5.3,0,8.0,0
27,"User Experince Design (CS Elective)","CPSC","4220","16",,,5,"","",4.0,0,6.0,0
28,"Machine Learning (CS Elective)","CPSC","4310","5;14",,,5,"","",3.3,0,5.0,0
29,"Compiler Principles and Techniques (CS Elective)","CPSC","4400","15;19",,,5,"","",4.0,0,6.0,0
30,"Secuirty in Computing (CS Elective)","CPSC","16;18",,,,5,"","",0.7,0,1.0,0
31,"Creative Expression and Interpretation","UCOR","1300",,,,5,"","",0.7,0,1.0,0
32,"Inquiry Seminar in the Humanities","UCOR","1400",,,,5,"","",2.0,1,2.0,0
33,"Inquiry Seminar in the Social Sciences","UCOR","1600",,,,5,"","",2.0,1,2.0,0
34,"Theological Explorations","UCOR","2100","21",,,5,"","",2.7,1,3.0,3
35,"Philosophy of the Human Person","UCOR","2500","21",,,5,"","",2.7,1,3.0,3
36,"Ethical Reasoning","UCOR","2900","35",,,5,"","",2.0,0,3.0,0
37,"Religon in a Global Context","UCOR","3100","34",,,5,"","",2.0,0,3.0,0
38,"Humanities and Global Challenges","UCOR","3400","32",,,5,"","",1.3,0,2.0,0
39,"Social Sciences and Global Challenges","UCOR","3600","33",,,5,"","",1.3,0,2.0,0
40,"Free Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
41,"Free Elective","XX","XX",,,,4,"","",0.7,0,1.0,0